cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,gfx,tflops,bw,_tag
256,1,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,4.88,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_kb3_gui,0.0%,0.0,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,4.88,0,0,0.0,gfx950,0.0,0.0,
256,2,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,26.8119,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,26.8119,0,0,0.0,gfx950,2.82,22527.47,
256,4,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,29.3846,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,29.3846,0,0,0.0,gfx950,5.14,20555.97,
256,8,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,8.12,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_gui,0.0%,0.0,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,8.12,0,0,0.0,gfx950,0.0,0.0,
256,16,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,49.1679,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,49.1679,0,0,0.0,gfx950,12.28,12288.02,
256,32,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,13.6,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_gui,0.0%,0.0,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,13.6,0,0,0.0,gfx950,0.0,0.0,
256,64,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,71.8491,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,71.8491,0,0,0.0,gfx950,33.62,8417.17,
256,128,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,13.8,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_gui,0.0%,0.0,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,13.8,0,0,0.0,gfx950,0.0,0.0,
256,256,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,13.8,flydsl_moe1_abf16_wfp4bf16_bf16_t16x64x256_gui,0.0%,0.0,flydsl_moe2_abf16_wfp4bf16_bf16_t16x128x128_atomic,,13.8,0,0,0.0,gfx950,0.0,0.0,
256,1,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,32.0815,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,32.0815,0,0,0.0,gfx950,3.53,56479.64,
256,2,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,34.6309,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,34.6309,0,0,0.0,gfx950,6.54,52322.17,
256,4,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,46.1847,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,46.1847,0,0,0.0,gfx950,9.81,39233.52,
256,8,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,61.3954,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,61.3954,0,0,0.0,gfx950,14.76,29514.22,
256,16,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,88.5828,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,88.5828,0,0,0.0,gfx950,20.45,20456.97,
256,32,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,124.1052,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,124.1052,0,0,0.0,gfx950,29.2,14603.2,
256,64,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,162.3633,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,162.3633,0,0,0.0,gfx950,44.64,11164.63,
256,128,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,182.5234,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,182.5234,0,0,0.0,gfx950,79.42,9935.78,
256,1,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,39.1026,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,39.1026,0,0,0.0,gfx950,5.79,92676.47,
